	Mz	Description
257	657.37	"PEG, [A14B+Na]+, [C2H4O]nH2O, Polyethylene glycol, ubiquitous polyether"
258	657.48	"PPG, [A11B+H]+, [C3H6O]nH2O, Polypropylene glycol, ubiquitous polyether"
259	661.45	"Triton, [AB10+H]+, [C15H24O][C2H4O]n, 101 Detergents"
260	667.18	"Polysiloxane, [M+H]+, [C2H6SiO]9, Polysiloxane, followed by m/z 684"
261	669.42	"Triton, [AB10+Na]+, [C14H22O][C2H4O]n, X-100, X-114, X-405, or X-45 Detergents"
262	673.34	"PEG, [A14B+K]+, [C2H4O]nH2O, Polyethylene glycol, ubiquitous polyether"
263	675.47	"Triton, reduced, [AB10+Na]+, [C14H28O][C2H4O]n, X-100R, X-114R, X-405R, or X-45R Detergents"
264	679.41	"PEG, [A15B+H]+, [C2H4O]nH2O, Polyethylene glycol, ubiquitous polyether"
265	679.46	"PPG, [A11B+Na]+, [C3H6O]nH2O, Polypropylene glycol, ubiquitous polyether"
266	679.51	"nylon , [M+H]+, C36H66N6O6, Cyclic oligomer of polyamide 66, (adipic acid/hexylmethylene diamine condensation) "
267	683.43	"Triton, [AB10+Na]+, [C15H24O][C2H4O]n, 101 Detergents"
268	684.20	"Polysiloxane, [M+NH4]+, [C2H6SiO]9, Polysiloxane (see m/z 667)"
269	689.48	"Triton, reduced, [AB10+Na]+, [C15H30O][C2H4O]n, 101R Detergents"
270	691.46	"Triton, [AB11+H]+, [C14H22O][C2H4O]n, X-100, X-114, X-405, or X-45 Detergents"
271	695.43	"PPG, [A11B+K]+, [C3H6O]nH2O, Polypropylene glycol, ubiquitous polyether"
